Role,Techstack,Links
Data Analyst,"Python, R, SQL, Excel, Pandas, Tableau, Power BI, Matplotlib, Seaborn, Hadoop, Spark, ETL tools, statistical analysis techniques, data cleaning and wrangling methods",https://www.linkedin.com/in/divya-dadi-9a2539172/
Data Engineer,"Python, Java, Scala, SQL, NoSQL, Hadoop, Spark, Kafka, Apache Airflow, ETL tools, AWS, Azure, Google Cloud, data warehousing, data modeling, Docker, Kubernetes, stream processing",https://www.linkedin.com/in/divya-dadi-9a2539172/
Software Engineer,"Java, Python, C++, JavaScript, SQL, Git, Agile methodologies, object-oriented programming, data structures, algorithms, RESTful APIs, HTML, CSS, Docker, Kubernetes, CI/CD, AWS, GCP, unit testing, design patterns, microservices architecture",https://www.linkedin.com/in/divya-dadi-9a2539172/
Software Developer,"Python, Java, C++, JavaScript, SQL, Git, Agile methodologies, object-oriented programming, data structures, algorithms, RESTful APIs, HTML, CSS, Docker, Kubernetes, CI/CD, cloud platforms (AWS, Azure, GCP), unit testing, debugging, design patterns,",https://www.linkedin.com/in/divya-dadi-9a2539172/
Software Developer Engineer,"Java, C++, Python, data structures, algorithms, system design, distributed systems, object-oriented programming, design patterns, debugging, AWS, Linux, Git, Agile methodologies,",https://www.linkedin.com/in/divya-dadi-9a2539172/
